inventory_id,snapshot_date,warehouse_id,warehouse_city,region,product_id,batch_id,manufacture_date,expiry_date,opening_stock_units,received_units,sold_units,damaged_units,closing_stock_units,reorder_level_units,stockout_days,near_expiry_units_90d,inventory_value_inr
I000021,2024-01-31,W01,Delhi,North,P021,P021-01-W01,2023-08-01,2025-08-01,2161,541,478,13,2211,514,0,0,160783.92
I000022,2024-01-31,W01,Delhi,North,P022,P022-01-W01,2023-05-01,2024-11-01,2536,1034,1517,10,2043,781,0,0,158863.68
I000023,2024-01-31,W01,Delhi,North,P023,P023-01-W01,2023-02-01,2025-08-01,2319,1051,1444,12,1914,793,0,0,179035.56
I000024,2024-01-31,W01,Delhi,North,P024,P024-01-W01,2023-05-01,2025-05-01,2169,524,1468,9,1216,927,0,0,263336.96
I000025,2024-01-31,W01,Delhi,North,P025,P025-01-W01,2022-11-01,2024-05-01,418,237,655,0,0,658,2,0,0
I000026,2024-01-31,W01,Delhi,North,P026,P026-01-W01,2023-08-01,2025-02-01,1801,1225,1245,12,1769,884,0,0,45251.02
I000027,2024-01-31,W01,Delhi,North,P027,P027-01-W01,2022-11-01,2024-05-01,1760,1292,1621,6,1425,928,0,0,49005.75
I000028,2024-01-31,W01,Delhi,North,P028,P028-01-W01,2023-05-01,2025-11-01,1181,105,1107,8,171,620,0,0,7619.76
I000029,2024-01-31,W01,Delhi,North,P029,P029-01-W01,2023-02-01,2026-02-01,1892,543,998,14,1423,965,0,0,91712.35
I000030,2024-01-31,W01,Delhi,North,P030,P030-01-W01,2023-08-01,2026-08-01,461,253,714,0,0,940,10,0,0
I000031,2024-01-31,W01,Delhi,North,P031,P031-01-W01,2023-02-01,2026-02-01,979,1160,1758,13,368,952,0,0,21516.96
I000032,2024-01-31,W01,Delhi,North,P032,P032-01-W01,2022-11-01,2025-05-01,1877,100,1863,5,109,590,0,0,5629.85
I000033,2024-01-31,W01,Delhi,North,P033,P033-01-W01,2023-02-01,2025-08-01,2037,1339,856,8,2512,957,0,0,176417.76
I000034,2024-01-31,W01,Delhi,North,P034,P034-01-W01,2022-11-01,2024-05-01,1579,901,1127,1,1352,963,0,0,89434.8
I000035,2024-01-31,W01,Delhi,North,P035,P035-01-W01,2023-08-01,2026-02-01,1498,481,817,6,1156,755,0,0,102907.12
I000036,2024-01-31,W01,Delhi,North,P036,P036-01-W01,2022-11-01,2024-05-01,1389,325,1714,0,0,973,8,0,0
I000037,2024-01-31,W02,Mumbai,West,P001,P001-01-W02,2023-05-01,2026-05-01,1062,528,492,12,1086,989,0,0,22729.98
I000038,2024-01-31,W02,Mumbai,West,P002,P002-01-W02,2023-05-01,2026-05-01,2255,298,1055,1,1497,997,0,0,36362.13
I000039,2024-01-31,W02,Mumbai,West,P003,P003-01-W02,2023-05-01,2025-05-01,2302,956,1216,4,2038,984,0,0,78992.88
I000040,2024-01-31,W02,Mumbai,West,P004,P004-01-W02,2023-08-01,2025-02-01,562,467,1029,0,0,984,5,0,0
I000041,2024-01-31,W02,Mumbai,West,P005,P005-01-W02,2023-02-01,2025-08-01,720,144,864,0,0,675,6,0,0
I000042,2024-01-31,W02,Mumbai,West,P006,P006-01-W02,2023-05-01,2024-11-01,933,1475,1212,10,1186,857,0,0,68823.58
I000043,2024-01-31,W02,Mumbai,West,P007,P007-01-W02,2022-11-01,2024-05-01,2571,1478,1657,16,2376,596,0,0,149450.4
I000044,2024-01-31,W02,Mumbai,West,P008,P008-01-W02,2022-11-01,2025-05-01,2220,518,1574,5,1159,662,0,0,74268.72
I000045,2024-01-31,W02,Mumbai,West,P009,P009-01-W02,2022-11-01,2024-05-01,1139,56,854,2,339,976,0,0,21923.13
I000046,2024-01-31,W02,Mumbai,West,P010,P010-01-W02,2023-02-01,2026-02-01,1413,200,1026,7,580,566,0,0,42914.2
I000047,2024-01-31,W02,Mumbai,West,P011,P011-01-W02,2023-05-01,2025-11-01,1410,869,505,1,1773,514,0,0,167761.26
I000048,2024-01-31,W02,Mumbai,West,P012,P012-01-W02,2022-11-01,2025-11-01,1568,1329,1618,14,1265,704,0,0,281083
I000049,2024-01-31,W02,Mumbai,West,P013,P013-01-W02,2023-02-01,2024-08-01,1017,388,1212,11,182,960,0,0,4957.68
I000050,2024-01-31,W02,Mumbai,West,P014,P014-01-W02,2023-02-01,2024-08-01,1235,496,1338,4,389,739,0,0,9857.26
I000051,2024-01-31,W02,Mumbai,West,P015,P015-01-W02,2023-02-01,2026-02-01,1057,727,1498,7,279,525,0,0,7923.6
I000052,2024-01-31,W02,Mumbai,West,P016,P016-01-W02,2023-02-01,2025-08-01,942,30,972,0,0,549,9,0,0
I000053,2024-01-31,W02,Mumbai,West,P017,P017-01-W02,2022-11-01,2025-05-01,2509,894,483,5,2915,774,0,0,143476.3
I000054,2024-01-31,W02,Mumbai,West,P018,P018-01-W02,2022-11-01,2025-05-01,1317,735,1333,7,712,557,0,0,48679.44
I000055,2024-01-31,W02,Mumbai,West,P019,P019-01-W02,2023-05-01,2025-05-01,401,366,767,0,0,607,12,0,0
I000056,2024-01-31,W02,Mumbai,West,P020,P020-01-W02,2023-05-01,2024-11-01,2062,1492,1515,1,2038,542,0,0,114698.64
I000057,2024-01-31,W02,Mumbai,West,P021,P021-01-W02,2023-02-01,2025-02-01,1428,819,695,4,1548,867,0,0,112570.56
I000058,2024-01-31,W02,Mumbai,West,P022,P022-01-W02,2023-02-01,2024-08-01,2280,728,773,6,2229,770,0,0,173327.04
I000059,2024-01-31,W02,Mumbai,West,P023,P023-01-W02,2023-05-01,2025-11-01,1298,828,547,5,1574,863,0,0,147231.96
I000060,2024-01-31,W02,Mumbai,West,P024,P024-01-W02,2022-11-01,2024-11-01,2189,179,1828,10,530,892,0,0,114776.8
I000061,2024-01-31,W02,Mumbai,West,P025,P025-01-W02,2023-05-01,2024-11-01,1056,1091,1707,5,435,765,0,0,6725.1
I000062,2024-01-31,W02,Mumbai,West,P026,P026-01-W02,2023-08-01,2025-02-01,1464,512,480,15,1481,929,0,0,37883.98
I000063,2024-01-31,W02,Mumbai,West,P027,P027-01-W02,2023-02-01,2024-08-01,707,1229,1623,2,311,920,0,0,10695.29
I000064,2024-01-31,W02,Mumbai,West,P028,P028-01-W02,2022-11-01,2025-05-01,488,1417,1018,3,884,632,0,0,39391.04
I000065,2024-01-31,W02,Mumbai,West,P029,P029-01-W02,2023-02-01,2026-02-01,868,286,561,8,585,648,0,0,37703.25
I000066,2024-01-31,W02,Mumbai,West,P030,P030-01-W02,2023-08-01,2026-08-01,1186,41,911,2,314,914,0,0,19587.32
I000067,2024-01-31,W02,Mumbai,West,P031,P031-01-W02,2023-08-01,2026-08-01,1693,347,854,6,1180,885,0,0,68994.6
I000068,2024-01-31,W02,Mumbai,West,P032,P032-01-W02,2023-02-01,2025-08-01,557,437,994,0,0,996,2,0,0
I000069,2024-01-31,W02,Mumbai,West,P033,P033-01-W02,2023-05-01,2025-11-01,2084,377,1722,11,728,701,0,0,51127.44
I000070,2024-01-31,W02,Mumbai,West,P034,P034-01-W02,2023-08-01,2025-02-01,1069,482,846,6,699,993,0,0,46238.85
I000071,2024-01-31,W02,Mumbai,West,P035,P035-01-W02,2022-11-01,2025-05-01,819,297,1116,0,0,541,8,0,0
I000072,2024-01-31,W02,Mumbai,West,P036,P036-01-W02,2023-05-01,2024-11-01,1937,423,1161,14,1185,613,0,0,268864.65
I000073,2024-01-31,W03,Bengaluru,South,P001,P001-01-W03,2023-02-01,2026-02-01,1182,1298,1199,9,1272,792,0,0,26622.96
I000074,2024-01-31,W03,Bengaluru,South,P002,P002-01-W03,2023-08-01,2026-08-01,1708,409,979,15,1123,810,0,0,27277.67
I000075,2024-01-31,W03,Bengaluru,South,P003,P003-01-W03,2022-11-01,2024-11-01,1839,522,643,3,1715,783,0,0,66473.4
I000076,2024-01-31,W03,Bengaluru,South,P004,P004-01-W03,2023-05-01,2024-11-01,787,64,851,0,0,786,7,0,0
I000077,2024-01-31,W03,Bengaluru,South,P005,P005-01-W03,2023-02-01,2025-08-01,643,106,749,0,0,911,4,0,0
I000078,2024-01-31,W03,Bengaluru,South,P006,P006-01-W03,2023-08-01,2025-02-01,1559,1084,900,7,1736,588,0,0,100740.08
I000079,2024-01-31,W03,Bengaluru,South,P007,P007-01-W03,2022-11-01,2024-05-01,1116,82,885,11,302,904,0,0,18995.8
I000080,2024-01-31,W03,Bengaluru,South,P008,P008-01-W03,2023-08-01,2026-02-01,1375,377,979,15,758,964,0,0,48572.64
I000081,2024-01-31,W03,Bengaluru,South,P009,P009-01-W03,2022-11-01,2024-05-01,2416,167,1397,3,1183,533,0,0,76504.61
I000082,2024-01-31,W03,Bengaluru,South,P010,P010-01-W03,2023-08-01,2026-08-01,1601,800,906,5,1490,676,0,0,110245.1
I000083,2024-01-31,W03,Bengaluru,South,P011,P011-01-W03,2023-05-01,2025-11-01,1459,1193,1451,2,1199,781,0,0,113449.38
I000084,2024-01-31,W03,Bengaluru,South,P012,P012-01-W03,2023-02-01,2026-02-01,2369,1403,840,15,2917,887,0,0,648157.4
I000085,2024-01-31,W03,Bengaluru,South,P013,P013-01-W03,2022-11-01,2024-05-01,1066,1036,529,6,1567,676,0,0,42685.08
I000086,2024-01-31,W03,Bengaluru,South,P014,P014-01-W03,2022-11-01,2024-05-01,2385,1119,1698,16,1790,993,0,0,45358.6
I000087,2024-01-31,W03,Bengaluru,South,P015,P015-01-W03,2023-05-01,2026-05-01,834,1498,891,8,1433,694,0,0,40697.2
I000088,2024-01-31,W03,Bengaluru,South,P016,P016-01-W03,2022-11-01,2025-05-01,770,141,911,0,0,562,12,0,0
I000089,2024-01-31,W03,Bengaluru,South,P017,P017-01-W03,2023-05-01,2025-11-01,2178,586,1797,9,958,791,0,0,47152.76
I000090,2024-01-31,W03,Bengaluru,South,P018,P018-01-W03,2023-08-01,2026-02-01,2316,807,1780,13,1330,677,0,0,90932.1
I000091,2024-01-31,W03,Bengaluru,South,P019,P019-01-W03,2023-08-01,2025-08-01,2083,324,1245,4,1158,923,0,0,80388.36
I000092,2024-01-31,W03,Bengaluru,South,P020,P020-01-W03,2023-02-01,2024-08-01,2103,1405,1874,13,1621,810,0,0,91229.88
I000093,2024-01-31,W03,Bengaluru,South,P021,P021-01-W03,2023-02-01,2025-02-01,1241,1041,608,10,1664,548,0,0,121006.08
I000094,2024-01-31,W03,Bengaluru,South,P022,P022-01-W03,2023-05-01,2024-11-01,2194,1443,744,13,2880,601,0,0,223948.8
I000095,2024-01-31,W03,Bengaluru,South,P023,P023-01-W03,2023-08-01,2026-02-01,1438,85,477,5,1041,964,0,0,97375.14
I000096,2024-01-31,W03,Bengaluru,South,P024,P024-01-W03,2023-05-01,2025-05-01,2422,467,1205,14,1670,800,0,0,361655.2
I000097,2024-01-31,W03,Bengaluru,South,P025,P025-01-W03,2023-08-01,2025-02-01,1345,1110,454,6,1995,974,0,0,30842.7
I000098,2024-01-31,W03,Bengaluru,South,P026,P026-01-W03,2023-02-01,2024-08-01,1410,21,937,1,493,907,0,0,12610.94
I000099,2024-01-31,W03,Bengaluru,South,P027,P027-01-W03,2022-11-01,2024-05-01,1207,1065,1788,1,483,951,0,0,16610.37
I000100,2024-01-31,W03,Bengaluru,South,P028,P028-01-W03,2022-11-01,2025-05-01,2269,754,1827,2,1194,636,0,0,53204.64
I000101,2024-01-31,W03,Bengaluru,South,P029,P029-01-W03,2023-08-01,2026-08-01,1085,392,564,3,910,731,0,0,58649.5
I000102,2024-01-31,W03,Bengaluru,South,P030,P030-01-W03,2022-11-01,2025-11-01,1599,799,553,16,1829,544,0,0,114093.02
I000103,2024-01-31,W03,Bengaluru,South,P031,P031-01-W03,2023-05-01,2026-05-01,2537,898,1251,8,2176,942,0,0,127230.72
I000104,2024-01-31,W03,Bengaluru,South,P032,P032-01-W03,2023-02-01,2025-08-01,535,1300,855,14,966,531,0,0,49893.9
I000105,2024-01-31,W03,Bengaluru,South,P033,P033-01-W03,2023-08-01,2026-02-01,2147,1097,1261,3,1980,532,0,0,139055.4
I000106,2024-01-31,W03,Bengaluru,South,P034,P034-01-W03,2023-02-01,2024-08-01,2334,1347,1361,11,2309,508,0,0,152740.35
I000107,2024-01-31,W03,Bengaluru,South,P035,P035-01-W03,2023-02-01,2025-08-01,1055,736,1067,8,716,834,0,0,63738.32
I000108,2024-01-31,W03,Bengaluru,South,P036,P036-01-W03,2023-02-01,2024-08-01,1128,950,1688,14,376,657,0,0,85310.64
I000109,2024-01-31,W04,Kolkata,East,P001,P001-01-W04,2023-05-01,2026-05-01,2431,1070,1782,4,1715,691,0,0,35894.95
I000110,2024-01-31,W04,Kolkata,East,P002,P002-01-W04,2023-08-01,2026-08-01,2256,1063,922,2,2395,841,0,0,58174.55
I000111,2024-01-31,W04,Kolkata,East,P003,P003-01-W04,2022-11-01,2024-11-01,2330,1321,501,4,3146,734,0,0,121938.96
I000112,2024-01-31,W04,Kolkata,East,P004,P004-01-W04,2023-05-01,2024-11-01,696,543,454,13,772,848,0,0,27622.16
I000113,2024-01-31,W04,Kolkata,East,P005,P005-01-W04,2023-08-01,2026-02-01,1960,1162,1562,5,1555,571,0,0,70783.6
I000114,2024-01-31,W04,Kolkata,East,P006,P006-01-W04,2023-05-01,2024-11-01,896,786,1023,5,654,770,0,0,37951.62
I000115,2024-01-31,W04,Kolkata,East,P007,P007-01-W04,2023-08-01,2025-02-01,1727,1400,770,9,2348,743,0,0,147689.2
I000116,2024-01-31,W04,Kolkata,East,P008,P008-01-W04,2023-05-01,2025-11-01,1245,700,685,7,1253,944,0,0,80292.24
I000117,2024-01-31,W04,Kolkata,East,P009,P009-01-W04,2023-08-01,2025-02-01,1769,1441,491,7,2712,947,0,0,175385.04
I000118,2024-01-31,W04,Kolkata,East,P010,P010-01-W04,2023-02-01,2026-02-01,1174,996,831,4,1335,515,0,0,98776.65
I000119,2024-01-31,W04,Kolkata,East,P011,P011-01-W04,2023-05-01,2025-11-01,1246,1483,1413,6,1310,639,0,0,123952.2
I000120,2024-01-31,W04,Kolkata,East,P012,P012-01-W04,2023-08-01,2026-08-01,1428,1197,700,8,1917,799,0,0,425957.4
I000121,2024-01-31,W04,Kolkata,East,P013,P013-01-W04,2022-11-01,2024-05-01,2398,1245,1135,15,2493,764,0,0,67909.32
I000122,2024-01-31,W04,Kolkata,East,P014,P014-01-W04,2023-02-01,2024-08-01,1596,115,1711,0,0,748,8,0,0
I000123,2024-01-31,W04,Kolkata,East,P015,P015-01-W04,2023-02-01,2026-02-01,1789,1170,957,15,1987,632,0,0,56430.8
I000124,2024-01-31,W04,Kolkata,East,P016,P016-01-W04,2023-02-01,2025-08-01,1037,1262,1206,14,1079,953,0,0,52266.76
I000125,2024-01-31,W04,Kolkata,East,P017,P017-01-W04,2022-11-01,2025-05-01,526,481,632,10,365,599,0,0,17965.3
I000126,2024-01-31,W04,Kolkata,East,P018,P018-01-W04,2023-05-01,2025-11-01,987,1141,709,7,1412,885,0,0,96538.44
I000127,2024-01-31,W04,Kolkata,East,P019,P019-01-W04,2023-02-01,2025-02-01,1106,86,1176,2,14,653,0,0,971.88
I000128,2024-01-31,W04,Kolkata,East,P020,P020-01-W04,2022-11-01,2024-05-01,1872,207,596,13,1470,942,0,0,82731.6
I000129,2024-01-31,W04,Kolkata,East,P021,P021-01-W04,2023-05-01,2025-05-01,1702,897,916,10,1673,511,0,0,121660.56
I000130,2024-01-31,W04,Kolkata,East,P022,P022-01-W04,2022-11-01,2024-05-01,1021,1268,1255,15,1019,504,0,0,79237.44
I000131,2024-01-31,W04,Kolkata,East,P023,P023-01-W04,2023-05-01,2025-11-01,1690,580,1636,13,621,513,0,0,58088.34
I000132,2024-01-31,W04,Kolkata,East,P024,P024-01-W04,2023-05-01,2025-05-01,899,281,530,7,643,586,0,0,139248.08
I000133,2024-01-31,W04,Kolkata,East,P025,P025-01-W04,2022-11-01,2024-05-01,1248,560,1169,12,627,656,0,0,9693.42
I000134,2024-01-31,W04,Kolkata,East,P026,P026-01-W04,2023-02-01,2024-08-01,2095,294,1216,13,1160,889,0,0,29672.8
I000135,2024-01-31,W04,Kolkata,East,P027,P027-01-W04,2023-05-01,2024-11-01,2114,1487,1935,15,1651,527,0,0,56777.89
I000136,2024-01-31,W04,Kolkata,East,P028,P028-01-W04,2023-05-01,2025-11-01,1834,211,1012,15,1018,675,0,0,45362.08
I000137,2024-01-31,W04,Kolkata,East,P029,P029-01-W04,2023-02-01,2026-02-01,1890,859,1546,14,1189,776,0,0,76631.05
I000138,2024-01-31,W04,Kolkata,East,P030,P030-01-W04,2023-08-01,2026-08-01,604,740,1003,6,335,942,0,0,20897.3
I000139,2024-01-31,W04,Kolkata,East,P031,P031-01-W04,2022-11-01,2025-11-01,1268,812,990,15,1075,907,0,0,62855.25
I000140,2024-01-31,W04,Kolkata,East,P032,P032-01-W04,2023-05-01,2025-11-01,2438,1230,1609,4,2055,963,0,0,106140.75
I000141,2024-01-31,W04,Kolkata,East,P033,P033-01-W04,2023-02-01,2025-08-01,2258,9,1781,15,471,784,0,0,33078.33
I000142,2024-01-31,W04,Kolkata,East,P034,P034-01-W04,2023-05-01,2024-11-01,1501,524,1845,5,175,919,0,0,11576.25
I000143,2024-01-31,W04,Kolkata,East,P035,P035-01-W04,2023-08-01,2026-02-01,2493,910,1328,13,2062,875,0,0,183559.24
I000144,2024-01-31,W04,Kolkata,East,P036,P036-01-W04,2023-08-01,2025-02-01,1035,280,1315,0,0,951,11,0,0
I000145,2024-01-31,W05,Indore,Central,P001,P001-01-W05,2023-05-01,2026-05-01,1996,205,1344,12,845,608,0,0,17685.85
I000146,2024-01-31,W05,Indore,Central,P002,P002-01-W05,2023-05-01,2026-05-01,1336,242,672,3,903,584,0,0,21933.87
I000147,2024-01-31,W05,Indore,Central,P003,P003-01-W05,2023-08-01,2025-08-01,1325,1033,848,2,1508,519,0,0,58450.08
I000148,2024-01-31,W05,Indore,Central,P004,P004-01-W05,2023-08-01,2025-02-01,1764,223,718,6,1263,695,0,0,45190.14
I000149,2024-01-31,W05,Indore,Central,P005,P005-01-W05,2023-02-01,2025-08-01,1927,1108,781,16,2238,690,0,0,101873.76
I000150,2024-01-31,W05,Indore,Central,P006,P006-01-W05,2023-05-01,2024-11-01,1221,504,1315,15,395,728,0,0,22921.85
I000151,2024-01-31,W05,Indore,Central,P007,P007-01-W05,2023-02-01,2024-08-01,2497,28,1505,4,1016,761,0,0,63906.4
I000152,2024-01-31,W05,Indore,Central,P008,P008-01-W05,2023-08-01,2026-02-01,422,765,815,4,368,587,0,0,23581.44
I000153,2024-01-31,W05,Indore,Central,P009,P009-01-W05,2023-02-01,2024-08-01,2095,1201,529,13,2754,593,0,0,178101.18
I000154,2024-01-31,W05,Indore,Central,P010,P010-01-W05,2023-08-01,2026-08-01,1673,1140,1644,15,1154,923,0,0,85384.46
I000155,2024-01-31,W05,Indore,Central,P011,P011-01-W05,2022-11-01,2025-05-01,1072,455,1527,0,0,984,9,0,0
I000156,2024-01-31,W05,Indore,Central,P012,P012-01-W05,2023-08-01,2026-08-01,1865,780,1829,12,804,730,0,0,178648.8
I000157,2024-01-31,W05,Indore,Central,P013,P013-01-W05,2023-02-01,2024-08-01,637,1498,1344,12,779,708,0,0,21219.96
I000158,2024-01-31,W05,Indore,Central,P014,P014-01-W05,2023-05-01,2024-11-01,526,370,896,0,0,680,10,0,0
I000159,2024-01-31,W05,Indore,Central,P015,P015-01-W05,2023-08-01,2026-08-01,1953,685,1596,3,1039,503,0,0,29507.6
I000160,2024-01-31,W05,Indore,Central,P016,P016-01-W05,2023-08-01,2026-02-01,1545,177,1722,0,0,616,5,0,0
I000161,2024-01-31,W05,Indore,Central,P017,P017-01-W05,2023-02-01,2025-08-01,2433,1376,1255,3,2551,512,0,0,125560.22
I000162,2024-01-31,W05,Indore,Central,P018,P018-01-W05,2023-08-01,2026-02-01,2326,1486,1587,0,2225,651,0,0,152123.25
I000163,2024-01-31,W05,Indore,Central,P019,P019-01-W05,2023-02-01,2025-02-01,522,1356,1033,2,843,500,0,0,58521.06
I000164,2024-01-31,W05,Indore,Central,P020,P020-01-W05,2022-11-01,2024-05-01,2095,307,1476,0,926,718,0,0,52115.28
I000165,2024-01-31,W05,Indore,Central,P021,P021-01-W05,2023-05-01,2025-05-01,1896,79,1644,2,329,516,0,0,23924.88
I000166,2024-01-31,W05,Indore,Central,P022,P022-01-W05,2023-02-01,2024-08-01,547,410,957,0,0,860,4,0,0
I000167,2024-01-31,W05,Indore,Central,P023,P023-01-W05,2022-11-01,2025-05-01,2094,30,704,5,1415,770,0,0,132359.1
I000168,2024-01-31,W05,Indore,Central,P024,P024-01-W05,2023-02-01,2025-02-01,888,605,1493,0,0,565,5,0,0
I000169,2024-01-31,W05,Indore,Central,P025,P025-01-W05,2023-05-01,2024-11-01,2405,878,474,3,2806,671,0,0,43380.76
I000170,2024-01-31,W05,Indore,Central,P026,P026-01-W05,2023-08-01,2025-02-01,1274,577,513,4,1334,609,0,0,34123.72
I000171,2024-01-31,W05,Indore,Central,P027,P027-01-W05,2023-08-01,2025-02-01,781,509,753,16,521,854,0,0,17917.19
I000172,2024-01-31,W05,Indore,Central,P028,P028-01-W05,2023-05-01,2025-11-01,1614,1224,781,1,2056,953,0,0,91615.36
I000173,2024-01-31,W05,Indore,Central,P029,P029-01-W05,2023-08-01,2026-08-01,756,534,1290,0,0,563,3,0,0
I000174,2024-01-31,W05,Indore,Central,P030,P030-01-W05,2023-08-01,2026-08-01,1234,1310,1104,1,1439,565,0,0,89764.82
I000175,2024-01-31,W05,Indore,Central,P031,P031-01-W05,2022-11-01,2025-11-01,467,404,871,0,0,848,3,0,0
I000176,2024-01-31,W05,Indore,Central,P032,P032-01-W05,2023-05-01,2025-11-01,1636,96,713,7,1012,566,0,0,52269.8
I000177,2024-01-31,W05,Indore,Central,P033,P033-01-W05,2023-02-01,2025-08-01,825,721,1546,0,0,677,11,0,0
I000178,2024-01-31,W05,Indore,Central,P034,P034-01-W05,2022-11-01,2024-05-01,1498,375,1772,14,87,762,0,0,5755.05
I000179,2024-01-31,W05,Indore,Central,P035,P035-01-W05,2023-02-01,2025-08-01,964,1098,1086,6,970,923,0,0,86349.4
I000180,2024-01-31,W05,Indore,Central,P036,P036-01-W05,2023-02-01,2024-08-01,1078,814,1410,8,474,747,0,0,107545.86
I000181,2024-01-31,W06,Hyderabad,South,P001,P001-01-W06,2023-08-01,2026-08-01,1193,893,1719,15,352,607,0,0,7367.36
I000182,2024-01-31,W06,Hyderabad,South,P002,P002-01-W06,2022-11-01,2025-11-01,1318,844,1425,11,726,796,0,0,17634.54
I000183,2024-01-31,W06,Hyderabad,South,P003,P003-01-W06,2022-11-01,2024-11-01,1385,884,736,1,1532,849,0,0,59380.32
I000184,2024-01-31,W06,Hyderabad,South,P004,P004-01-W06,2023-02-01,2024-08-01,899,215,1114,0,0,647,8,0,0
I000185,2024-01-31,W06,Hyderabad,South,P005,P005-01-W06,2023-08-01,2026-02-01,1669,1128,1544,13,1240,795,0,0,56444.8
I000186,2024-01-31,W06,Hyderabad,South,P006,P006-01-W06,2023-08-01,2025-02-01,1060,963,1614,15,394,708,0,0,22863.82
I000187,2024-01-31,W06,Hyderabad,South,P007,P007-01-W06,2022-11-01,2024-05-01,2064,305,505,7,1857,777,0,0,116805.3
I000188,2024-01-31,W06,Hyderabad,South,P008,P008-01-W06,2023-05-01,2025-11-01,1807,131,486,9,1443,979,0,0,92467.44
I000189,2024-01-31,W06,Hyderabad,South,P009,P009-01-W06,2022-11-01,2024-05-01,1793,771,1876,10,678,696,0,0,43846.26
I000190,2024-01-31,W06,Hyderabad,South,P010,P010-01-W06,2023-08-01,2026-08-01,1221,1182,1840,4,559,803,0,0,41360.41
I000191,2024-01-31,W06,Hyderabad,South,P011,P011-01-W06,2023-05-01,2025-11-01,2517,1455,1381,9,2582,874,0,0,244308.84
I000192,2024-01-31,W06,Hyderabad,South,P012,P012-01-W06,2023-08-01,2026-08-01,906,1418,706,14,1604,504,0,0,356408.8
I000193,2024-01-31,W06,Hyderabad,South,P013,P013-01-W06,2023-05-01,2024-11-01,1674,430,1249,5,850,796,0,0,23154
I000194,2024-01-31,W06,Hyderabad,South,P014,P014-01-W06,2023-08-01,2025-02-01,2195,1089,1044,10,2230,548,0,0,56508.2
I000195,2024-01-31,W06,Hyderabad,South,P015,P015-01-W06,2023-08-01,2026-08-01,1058,70,983,2,143,782,0,0,4061.2
I000196,2024-01-31,W06,Hyderabad,South,P016,P016-01-W06,2023-05-01,2025-11-01,876,938,1625,9,180,552,0,0,8719.2
I000197,2024-01-31,W06,Hyderabad,South,P017,P017-01-W06,2023-02-01,2025-08-01,1052,1424,1672,4,800,723,0,0,39376
