sale_id,invoice_date,product_id,distributor_id,region,state,city,channel,quantity_units,gross_sales_inr,discount_inr,net_sales_inr,cogs_inr,gross_profit_inr,units_returned,return_value_inr,doctor_specialty,sales_rep_id,payment_days,on_time_payment
S000017,2024-04-10,P035,D009,South,Telangana,Hyderabad,E-Pharmacy,378,68312.16,6872.36,61439.8,33649.56,27790.24,31,5038.71,Cardiologist,SR017,36,No
S000018,2024-07-11,P001,D024,Central,Madhya Pradesh,Indore,E-Pharmacy,144,6177.6,664.18,5513.42,3013.92,2499.5,8,306.3,Cardiologist,SR018,33,Yes
S000019,2024-09-05,P013,D053,West,Gujarat,Ahmedabad,Clinic,378,21107.52,1743.27,19364.25,10296.72,9067.53,0,0,General Physician,SR019,27,Yes
S000020,2025-06-12,P010,D036,Central,Madhya Pradesh,Indore,Retail Pharmacy,217,35481.67,3867.09,31614.58,16055.83,15558.75,0,0,Not Applicable,SR020,23,Yes
S000021,2025-08-23,P013,D034,East,West Bengal,Kolkata,E-Pharmacy,113,6309.92,622.67,5687.25,3078.12,2609.13,0,0,Gastroenterologist,SR021,18,Yes
S000022,2024-03-12,P003,D023,East,Odisha,Bhubaneswar,Clinic,345,28348.65,2930.31,25418.34,13372.2,12046.14,0,0,Gastroenterologist,SR022,40,Yes
S000023,2025-07-15,P015,D028,West,Maharashtra,Mumbai,Clinic,86,5177.2,318.26,4858.94,2442.4,2416.54,0,0,General Physician,SR023,28,Yes
S000024,2024-09-29,P024,D047,East,Odisha,Bhubaneswar,Hospital,139,59301.57,7116.19,52185.38,30101.84,22083.54,0,0,Cardiologist,SR024,49,No
S000025,2025-04-21,P014,D013,North,Delhi,New Delhi,Clinic,43,2157.31,158.02,1999.29,1089.62,909.67,0,0,Cardiologist,SR001,47,Yes
S000026,2025-02-13,P030,D040,West,Maharashtra,Mumbai,Government Tender,366,42463.32,8068.03,34395.29,22831.08,11564.21,0,0,Pulmonologist,SR002,45,Yes
S000027,2025-04-09,P034,D014,North,Uttar Pradesh,Lucknow,E-Pharmacy,120,17544,1741.53,15802.47,7938,7864.47,0,0,Not Applicable,SR003,21,Yes
S000028,2025-11-20,P001,D001,North,Delhi,New Delhi,Retail Pharmacy,412,17674.8,1889.21,15785.59,8623.16,7162.43,0,0,Orthopedist,SR004,34,No
S000029,2024-04-27,P016,D058,East,West Bengal,Kolkata,Clinic,213,20737.68,1684.02,19053.66,10317.72,8735.94,0,0,Gastroenterologist,SR005,7,Yes
S000030,2024-04-12,P016,D010,East,West Bengal,Kolkata,Government Tender,350,34076,6474.44,27601.56,16954,10647.56,0,0,Gastroenterologist,SR006,69,No
S000031,2025-12-15,P005,D043,South,Karnataka,Bengaluru,Clinic,490,41934.2,3072.29,38861.91,22304.8,16557.11,0,0,Orthopedist,SR007,6,Yes
S000032,2024-08-20,P009,D035,East,Odisha,Bhubaneswar,Government Tender,134,18892.66,3589.61,15303.05,8665.78,6637.27,0,0,Not Applicable,SR008,15,Yes
S000033,2025-06-17,P020,D016,West,Maharashtra,Mumbai,Retail Pharmacy,429,54319.98,4080.62,50239.36,24144.12,26095.24,0,0,Not Applicable,SR009,66,No
S000034,2025-07-15,P036,D045,South,Telangana,Hyderabad,Government Tender,565,252543.7,47983.3,204560.4,128192.85,76367.55,0,0,Diabetologist,SR010,40,Yes
S000035,2024-04-07,P005,D003,North,Punjab,Ludhiana,Clinic,83,7103.14,737.27,6365.87,3778.16,2587.71,6,460.18,Gastroenterologist,SR011,50,No
S000036,2024-01-28,P027,D004,West,Maharashtra,Mumbai,E-Pharmacy,245,17862.95,1397.89,16465.06,8425.55,8039.51,0,0,Pulmonologist,SR012,18,Yes
S000037,2024-09-07,P012,D009,South,Telangana,Hyderabad,E-Pharmacy,384,168088.32,12288.73,155799.59,85324.8,70474.79,0,0,Orthopedist,SR013,27,Yes
S000038,2024-01-02,P024,D043,South,Karnataka,Bengaluru,Clinic,275,117323.25,12634.59,104688.66,59554,45134.66,0,0,Cardiologist,SR014,21,No
S000039,2024-04-15,P010,D021,South,Telangana,Hyderabad,Retail Pharmacy,132,21583.32,2065.9,19517.42,9766.68,9750.74,0,0,Not Applicable,SR015,56,Yes
S000040,2024-01-22,P005,D013,North,Delhi,New Delhi,Clinic,316,27043.28,1690.2,25353.08,14384.32,10968.76,0,0,Orthopedist,SR016,55,Yes
S000041,2025-05-20,P023,D036,Central,Madhya Pradesh,Indore,Retail Pharmacy,394,74812.72,7120.2,67692.52,36854.76,30837.76,0,0,Pulmonologist,SR017,18,Yes
S000042,2024-10-12,P033,D012,Central,Madhya Pradesh,Indore,Hospital,351,53738.1,6448.57,47289.53,24650.73,22638.8,0,0,Not Applicable,SR018,31,Yes
S000043,2024-09-30,P029,D028,West,Maharashtra,Mumbai,Clinic,542,65668.72,6051.29,59617.43,34931.9,24685.53,0,0,General Physician,SR019,32,No
S000044,2024-03-21,P032,D023,East,Odisha,Bhubaneswar,Clinic,45,5229.9,457.64,4772.26,2324.25,2448.01,0,0,Not Applicable,SR020,52,Yes
S000045,2025-12-30,P027,D019,South,Karnataka,Bengaluru,E-Pharmacy,81,5905.71,534.58,5371.13,2785.59,2585.54,0,0,General Physician,SR021,65,No
S000046,2025-03-12,P018,D030,West,Rajasthan,Jaipur,Government Tender,236,30009.76,5701.85,24307.91,16135.32,8172.59,0,0,Diabetologist,SR022,54,Yes
S000047,2025-02-19,P026,D026,North,Uttar Pradesh,Lucknow,Retail Pharmacy,199,10079.35,778.34,9301.01,5090.42,4210.59,3,140.22,Gastroenterologist,SR023,14,Yes
S000048,2025-07-23,P008,D012,Central,Madhya Pradesh,Indore,Hospital,336,48447.84,5813.74,42634.1,21530.88,21103.22,0,0,Not Applicable,SR024,43,Yes
S000049,2024-07-10,P017,D009,South,Telangana,Hyderabad,E-Pharmacy,349,32296.46,3402,28894.46,17177.78,11716.68,0,0,Cardiologist,SR001,14,Yes
S000050,2025-11-29,P015,D030,West,Rajasthan,Jaipur,Government Tender,208,12521.6,2379.1,10142.5,5907.2,4235.3,0,0,Orthopedist,SR002,60,Yes
S000051,2024-10-05,P018,D008,South,Tamil Nadu,Chennai,Clinic,208,26449.28,1994.1,24455.18,14220.96,10234.22,0,0,General Physician,SR003,3,Yes
S000052,2024-06-26,P006,D057,South,Telangana,Hyderabad,Hospital,201,21693.93,2603.27,19090.66,11664.03,7426.63,0,0,Gastroenterologist,SR004,18,Yes
S000053,2025-02-01,P029,D051,North,Punjab,Ludhiana,Retail Pharmacy,104,12600.64,992.24,11608.4,6702.8,4905.6,0,0,Pulmonologist,SR005,33,No
S000054,2025-04-29,P014,D023,East,Odisha,Bhubaneswar,Clinic,279,13997.43,1348.98,12648.45,7069.86,5578.59,0,0,Diabetologist,SR006,60,Yes
S000055,2025-07-06,P029,D012,Central,Madhya Pradesh,Indore,Hospital,507,61428.12,7371.37,54056.75,32676.15,21380.6,32,3411.87,General Physician,SR007,47,No
S000056,2025-06-30,P017,D040,West,Maharashtra,Mumbai,Government Tender,212,19618.48,3727.51,15890.97,10434.64,5456.33,0,0,Diabetologist,SR008,36,Yes
S000057,2025-05-21,P012,D011,East,Odisha,Bhubaneswar,Retail Pharmacy,62,27139.26,2968.15,24171.11,13776.4,10394.71,0,0,Diabetologist,SR009,7,Yes
S000058,2024-07-19,P002,D046,East,West Bengal,Kolkata,Retail Pharmacy,473,22746.57,2472.36,20274.21,11489.17,8785.04,0,0,Cardiologist,SR010,26,Yes
S000059,2024-03-16,P019,D036,Central,Madhya Pradesh,Indore,Retail Pharmacy,148,21371.2,1628.88,19742.32,10274.16,9468.16,0,0,Diabetologist,SR011,32,No
S000060,2024-08-16,P026,D048,Central,Madhya Pradesh,Indore,Clinic,421,21323.65,1467.93,19855.72,10769.18,9086.54,0,0,Cardiologist,SR012,36,No
S000061,2025-09-15,P009,D021,South,Telangana,Hyderabad,Retail Pharmacy,230,32427.7,3089.47,29338.23,14874.1,14464.13,0,0,Not Applicable,SR013,64,No
S000062,2024-08-05,P028,D041,West,Gujarat,Ahmedabad,Retail Pharmacy,73,6538.61,580.17,5958.44,3252.88,2705.56,0,0,Diabetologist,SR014,7,Yes
S000063,2025-11-29,P026,D006,West,Rajasthan,Jaipur,Retail Pharmacy,110,5571.5,380.94,5190.56,2813.8,2376.76,0,0,Pulmonologist,SR015,43,Yes
S000064,2024-04-22,P034,D030,West,Rajasthan,Jaipur,Government Tender,444,64912.8,12333.43,52579.37,29370.6,23208.77,0,0,Not Applicable,SR016,58,Yes
S000065,2024-03-06,P002,D030,West,Rajasthan,Jaipur,Government Tender,201,9666.09,1836.56,7829.53,4882.29,2947.24,0,0,Gastroenterologist,SR017,52,Yes
S000066,2024-10-12,P026,D040,West,Maharashtra,Mumbai,Government Tender,330,16714.5,3175.76,13538.74,8441.4,5097.34,0,0,Gastroenterologist,SR018,49,No
S000067,2024-06-02,P012,D060,Central,Madhya Pradesh,Indore,Government Tender,448,196103.04,37259.58,158843.46,99545.6,59297.86,45,15955.26,General Physician,SR019,60,Yes
S000068,2024-01-13,P033,D011,East,Odisha,Bhubaneswar,Retail Pharmacy,92,14085.2,934.64,13150.56,6461.16,6689.4,0,0,Not Applicable,SR020,3,Yes
S000069,2024-11-25,P020,D043,South,Karnataka,Bengaluru,Clinic,469,59384.78,4009.87,55374.91,26395.32,28979.59,0,0,Not Applicable,SR021,11,Yes
S000070,2025-12-26,P010,D041,West,Gujarat,Ahmedabad,Retail Pharmacy,230,37607.3,3645.93,33961.37,17017.7,16943.67,0,0,Not Applicable,SR022,20,No
S000071,2024-11-20,P003,D025,North,Delhi,New Delhi,Government Tender,47,3861.99,733.78,3128.21,1821.72,1306.49,0,0,Pulmonologist,SR023,73,No
S000072,2025-07-06,P004,D015,North,Punjab,Ludhiana,Government Tender,145,10428.4,1981.4,8447,5188.1,3258.9,0,0,Orthopedist,SR024,45,Yes
S000073,2024-04-15,P011,D027,North,Punjab,Ludhiana,Hospital,360,69145.2,8297.42,60847.78,34063.2,26784.58,0,0,General Physician,SR001,3,Yes
S000074,2024-09-03,P011,D033,South,Telangana,Hyderabad,Clinic,565,108519.55,7143.59,101375.96,53460.3,47915.66,0,0,Gastroenterologist,SR002,30,Yes
S000075,2025-10-29,P025,D006,West,Rajasthan,Jaipur,Retail Pharmacy,312,9887.28,707.73,9179.55,4823.52,4356.03,0,0,Gastroenterologist,SR003,32,Yes
S000076,2024-03-05,P004,D046,East,West Bengal,Kolkata,Retail Pharmacy,106,7623.52,697.84,6925.68,3792.68,3133,0,0,General Physician,SR004,29,Yes
S000077,2024-05-22,P019,D032,South,Tamil Nadu,Chennai,Hospital,190,27436,3292.32,24143.68,13189.8,10953.88,0,0,Gastroenterologist,SR005,43,Yes
S000078,2025-12-17,P017,D024,Central,Madhya Pradesh,Indore,E-Pharmacy,120,11104.8,1117.64,9987.16,5906.4,4080.76,0,0,Orthopedist,SR006,48,No
S000079,2025-12-26,P002,D053,West,Gujarat,Ahmedabad,Clinic,275,13224.75,1022.21,12202.54,6679.75,5522.79,0,0,Diabetologist,SR007,28,Yes
S000080,2024-09-03,P011,D001,North,Delhi,New Delhi,Retail Pharmacy,126,24200.82,2495.63,21705.19,11922.12,9783.07,0,0,Pulmonologist,SR008,11,Yes
S000081,2024-02-04,P031,D028,West,Maharashtra,Mumbai,Clinic,270,32834.7,2809.75,30024.95,15786.9,14238.05,0,0,General Physician,SR009,32,No
S000082,2025-07-25,P003,D016,West,Maharashtra,Mumbai,Retail Pharmacy,129,10599.93,1077.38,9522.55,5000.04,4522.51,0,0,Gastroenterologist,SR010,46,Yes
S000083,2025-11-12,P008,D018,West,Rajasthan,Jaipur,Clinic,363,52340.97,3839.34,48501.63,23261.04,25240.59,0,0,Not Applicable,SR011,30,Yes
S000084,2024-01-01,P002,D056,South,Tamil Nadu,Chennai,Retail Pharmacy,339,16302.51,1314.78,14987.73,8234.31,6753.42,0,0,Diabetologist,SR012,11,Yes
S000085,2024-07-02,P019,D049,North,Delhi,New Delhi,E-Pharmacy,336,48518.4,5331.4,43187,23325.12,19861.88,0,0,General Physician,SR013,55,Yes
S000086,2024-11-18,P025,D046,East,West Bengal,Kolkata,Retail Pharmacy,304,9633.76,762.41,8871.35,4699.84,4171.51,0,0,Orthopedist,SR014,38,Yes
S000087,2025-12-23,P007,D043,South,Karnataka,Bengaluru,Clinic,280,36632.4,2308.4,34324,17612,16712,0,0,Diabetologist,SR015,19,No
S000088,2025-06-23,P019,D015,North,Punjab,Ludhiana,Government Tender,444,64113.6,12181.58,51932.02,30822.48,21109.54,0,0,General Physician,SR016,47,No
S000089,2024-03-10,P027,D009,South,Telangana,Hyderabad,E-Pharmacy,171,12467.61,1361.64,11105.97,5880.69,5225.28,0,0,General Physician,SR017,16,Yes
S000090,2025-02-23,P020,D045,South,Telangana,Hyderabad,Government Tender,466,59004.92,11210.93,47793.99,26226.48,21567.51,0,0,Not Applicable,SR018,39,Yes
S000091,2025-10-07,P024,D042,West,Rajasthan,Jaipur,Hospital,131,55888.53,6706.62,49181.91,28369.36,20812.55,0,0,Gastroenterologist,SR019,45,Yes
S000092,2025-04-21,P032,D038,North,Uttar Pradesh,Lucknow,Clinic,99,11505.78,961.69,10544.09,5113.35,5430.74,0,0,Not Applicable,SR020,30,Yes
S000093,2024-01-09,P013,D018,West,Rajasthan,Jaipur,Clinic,421,23508.64,2547.88,20960.76,11468.04,9492.72,0,0,Pulmonologist,SR021,33,No
S000094,2024-05-22,P007,D022,East,West Bengal,Kolkata,Hospital,341,44613.03,5353.56,39259.47,21448.9,17810.57,0,0,Pulmonologist,SR022,56,Yes
S000095,2025-03-03,P014,D011,East,Odisha,Bhubaneswar,Retail Pharmacy,194,9732.98,737.21,8995.77,4915.96,4079.81,0,0,General Physician,SR023,10,Yes
S000096,2025-02-02,P001,D040,West,Maharashtra,Mumbai,Government Tender,147,6306.3,1198.2,5108.1,3076.71,2031.39,0,0,Cardiologist,SR024,42,Yes
S000097,2024-09-17,P020,D043,South,Karnataka,Bengaluru,Clinic,569,72046.78,6438.95,65607.83,32023.32,33584.51,0,0,Not Applicable,SR001,3,Yes
S000098,2024-07-19,P003,D057,South,Telangana,Hyderabad,Hospital,168,13804.56,1656.55,12148.01,6511.68,5636.33,0,0,Cardiologist,SR002,36,No
S000099,2024-05-10,P036,D031,South,Karnataka,Bengaluru,Retail Pharmacy,379,169405.42,18517.77,150887.65,85991.31,64896.34,0,0,Pulmonologist,SR003,27,Yes
S000100,2025-11-13,P012,D052,West,Maharashtra,Mumbai,Hospital,402,175967.46,21116.1,154851.36,89324.4,65526.96,0,0,General Physician,SR004,12,Yes
S000101,2025-04-28,P028,D002,North,Uttar Pradesh,Lucknow,Hospital,299,26781.43,3213.77,23567.66,13323.44,10244.22,0,0,Cardiologist,SR005,20,No
S000102,2024-12-17,P012,D028,West,Maharashtra,Mumbai,Clinic,100,43773,3235.37,40537.63,22220,18317.63,0,0,Orthopedist,SR006,22,Yes
S000103,2024-10-18,P027,D049,North,Delhi,New Delhi,E-Pharmacy,86,6270.26,513.24,5757.02,2957.54,2799.48,0,0,Pulmonologist,SR007,64,No
S000104,2025-09-19,P009,D016,West,Maharashtra,Mumbai,Retail Pharmacy,164,23122.36,1511.54,21610.82,10605.88,11004.94,0,0,Not Applicable,SR008,49,Yes
S000105,2025-07-30,P023,D040,West,Maharashtra,Mumbai,Government Tender,205,38925.4,7395.83,31529.57,19175.7,12353.87,0,0,Cardiologist,SR009,45,Yes
S000106,2025-03-06,P019,D013,North,Delhi,New Delhi,Clinic,454,65557.6,6262.35,59295.25,31516.68,27778.57,0,0,Orthopedist,SR010,53,Yes
S000107,2025-09-18,P009,D024,Central,Madhya Pradesh,Indore,E-Pharmacy,325,45821.75,3795.33,42026.42,21017.75,21008.67,0,0,Not Applicable,SR011,49,No
S000108,2025-04-06,P029,D038,North,Uttar Pradesh,Lucknow,Clinic,349,42284.84,2631.39,39653.45,22493.05,17160.4,0,0,Cardiologist,SR012,45,Yes
S000109,2024-08-15,P019,D036,Central,Madhya Pradesh,Indore,Retail Pharmacy,416,60070.4,5345.99,54724.41,28878.72,25845.69,0,0,Pulmonologist,SR013,16,Yes
S000110,2024-01-10,P015,D045,South,Telangana,Hyderabad,Government Tender,95,5719,1086.61,4632.39,2698,1934.39,0,0,Diabetologist,SR014,45,Yes
S000111,2025-12-04,P023,D045,South,Telangana,Hyderabad,Government Tender,254,48229.52,9163.61,39065.91,23759.16,15306.75,0,0,Gastroenterologist,SR015,60,No
S000112,2025-11-23,P004,D002,North,Uttar Pradesh,Lucknow,Hospital,83,5969.36,716.32,5253.04,2969.74,2283.3,0,0,Diabetologist,SR016,17,No
S000113,2024-05-07,P034,D049,North,Delhi,New Delhi,E-Pharmacy,60,8772,812.87,7959.13,3969,3990.13,0,0,Not Applicable,SR017,63,No
S000114,2024-02-03,P028,D036,Central,Madhya Pradesh,Indore,Retail Pharmacy,200,17914,1776.98,16137.02,8912,7225.02,0,0,Gastroenterologist,SR018,12,Yes
S000115,2024-09-05,P012,D029,West,Gujarat,Ahmedabad,E-Pharmacy,203,88859.19,8524.94,80334.25,45106.6,35227.65,0,0,Cardiologist,SR019,52,Yes
S000116,2024-12-24,P017,D020,South,Tamil Nadu,Chennai,Government Tender,56,5182.24,984.63,4197.61,2756.32,1441.29,2,149.91,Cardiologist,SR020,60,No
S000117,2025-07-13,P033,D032,South,Tamil Nadu,Chennai,Hospital,593,90788.3,10894.6,79893.7,41646.39,38247.31,0,0,Not Applicable,SR021,39,Yes
S000118,2024-02-01,P004,D011,East,Odisha,Bhubaneswar,Retail Pharmacy,249,17908.08,1947.55,15960.53,8909.22,7051.31,0,0,Gastroenterologist,SR022,3,Yes
S000119,2024-04-17,P001,D010,East,West Bengal,Kolkata,Government Tender,241,10338.9,1964.39,8374.51,5044.13,3330.38,0,0,Cardiologist,SR023,62,No
S000120,2025-04-10,P002,D044,South,Tamil Nadu,Chennai,E-Pharmacy,200,9618,1013.46,8604.54,4858,3746.54,0,0,Diabetologist,SR024,23,Yes
S000121,2025-10-31,P003,D030,West,Rajasthan,Jaipur,Government Tender,204,16762.68,3184.91,13577.77,7907.04,5670.73,0,0,General Physician,SR001,72,No
S000122,2025-01-25,P014,D043,South,Karnataka,Bengaluru,Clinic,470,23579.9,2127.05,21452.85,11909.8,9543.05,0,0,Cardiologist,SR002,3,Yes
S000123,2025-02-23,P010,D055,South,Karnataka,Bengaluru,Government Tender,66,10791.66,2050.42,8741.24,4883.34,3857.9,0,0,Not Applicable,SR003,27,Yes
S000124,2024-09-18,P026,D046,East,West Bengal,Kolkata,Retail Pharmacy,316,16005.4,1638.93,14366.47,8083.28,6283.19,0,0,Gastroenterologist,SR004,28,Yes
S000125,2024-01-18,P006,D034,East,West Bengal,Kolkata,E-Pharmacy,125,13491.25,1000.25,12491,7253.75,5237.25,0,0,Pulmonologist,SR005,21,Yes
S000126,2025-11-24,P025,D029,West,Gujarat,Ahmedabad,E-Pharmacy,403,12771.07,1080.35,11690.72,6230.38,5460.34,0,0,Pulmonologist,SR006,53,Yes
S000127,2024-08-04,P014,D003,North,Punjab,Ludhiana,Clinic,488,24482.96,2392.05,22090.91,12365.92,9724.99,0,0,Orthopedist,SR007,37,Yes
S000128,2025-05-19,P023,D041,West,Gujarat,Ahmedabad,Retail Pharmacy,43,8164.84,652.64,7512.2,4022.22,3489.98,0,0,Gastroenterologist,SR008,21,No
S000129,2025-07-29,P019,D047,East,Odisha,Bhubaneswar,Hospital,324,46785.6,5614.27,41171.33,22492.08,18679.25,0,0,Diabetologist,SR009,31,Yes
S000130,2024-09-16,P016,D055,South,Karnataka,Bengaluru,Government Tender,500,48680,9249.2,39430.8,24220,15210.8,0,0,Pulmonologist,SR010,36,No
S000131,2025-01-03,P007,D020,South,Tamil Nadu,Chennai,Government Tender,258,33754.14,6413.29,27340.85,16228.2,11112.65,0,0,Diabetologist,SR011,61,No
S000132,2024-10-28,P006,D012,Central,Madhya Pradesh,Indore,Hospital,220,23744.6,2849.35,20895.25,12766.6,8128.65,24,2279.48,General Physician,SR012,36,Yes
S000133,2024-08-23,P024,D012,Central,Madhya Pradesh,Indore,Hospital,224,95565.12,11467.81,84097.31,48509.44,35587.87,0,0,Diabetologist,SR013,26,Yes
S000134,2025-05-15,P026,D051,North,Punjab,Ludhiana,Retail Pharmacy,406,20563.9,1822.78,18741.12,10385.48,8355.64,38,1754.09,Cardiologist,SR014,31,No
S000135,2025-06-17,P030,D008,South,Tamil Nadu,Chennai,Clinic,303,35154.06,2970,32184.06,18901.14,13282.92,0,0,General Physician,SR015,3,Yes
S000136,2024-06-20,P026,D053,West,Gujarat,Ahmedabad,Clinic,327,16562.55,1324.98,15237.57,8364.66,6872.91,0,0,Diabetologist,SR016,35,No
S000137,2025-10-20,P011,D056,South,Tamil Nadu,Chennai,Retail Pharmacy,223,42831.61,3383.1,39448.51,21100.26,18348.25,0,0,Pulmonologist,SR017,15,Yes
S000138,2025-05-11,P031,D034,East,West Bengal,Kolkata,E-Pharmacy,154,18727.94,1840.82,16887.12,9004.38,7882.74,0,0,Diabetologist,SR018,34,No
S000139,2025-02-06,P007,D052,West,Maharashtra,Mumbai,Hospital,195,25511.85,3061.42,22450.43,12265.5,10184.93,0,0,Gastroenterologist,SR019,25,Yes
S000140,2024-11-13,P022,D017,West,Gujarat,Ahmedabad,Hospital,41,7046.26,845.55,6200.71,3188.16,3012.55,0,0,Not Applicable,SR020,3,Yes
S000141,2024-09-18,P004,D020,South,Tamil Nadu,Chennai,Government Tender,291,20928.72,3976.46,16952.26,10411.98,6540.28,0,0,Diabetologist,SR021,42,Yes
S000142,2025-12-31,P024,D057,South,Telangana,Hyderabad,Hospital,251,107084.13,12850.1,94234.03,54356.56,39877.47,0,0,Pulmonologist,SR022,35,No
S000143,2024-05-29,P002,D059,East,Odisha,Bhubaneswar,E-Pharmacy,397,19091.73,2023.42,17068.31,9643.13,7425.18,0,0,Diabetologist,SR023,14,Yes
S000144,2024-08-19,P019,D049,North,Delhi,New Delhi,E-Pharmacy,74,10685.6,757.47,9928.13,5137.08,4791.05,0,0,Orthopedist,SR024,40,Yes
S000145,2025-12-24,P005,D036,Central,Madhya Pradesh,Indore,Retail Pharmacy,396,33889.68,2217.13,31672.55,18025.92,13646.63,0,0,Cardiologist,SR001,31,No
S000146,2024-09-06,P020,D051,North,Punjab,Ludhiana,Retail Pharmacy,85,10762.7,812.73,9949.97,4783.8,5166.17,0,0,Not Applicable,SR002,25,Yes
S000147,2024-05-24,P017,D013,North,Delhi,New Delhi,Clinic,74,6847.96,705.96,6142,3642.28,2499.72,0,0,Cardiologist,SR003,41,Yes
S000148,2024-11-19,P003,D037,North,Delhi,New Delhi,Hospital,105,8627.85,1035.34,7592.51,4069.8,3522.71,0,0,Orthopedist,SR004,47,No
S000149,2024-02-13,P031,D052,West,Maharashtra,Mumbai,Hospital,327,39766.47,4771.98,34994.49,19119.69,15874.8,0,0,Pulmonologist,SR005,26,Yes
S000150,2025-12-31,P026,D048,Central,Madhya Pradesh,Indore,Clinic,156,7901.4,709.49,7191.91,3990.48,3201.43,0,0,General Physician,SR006,17,Yes
S000151,2024-10-12,P004,D034,East,West Bengal,Kolkata,E-Pharmacy,444,31932.48,3330.52,28601.96,15886.32,12715.64,0,0,Cardiologist,SR007,11,Yes
S000152,2024-10-29,P001,D025,North,Delhi,New Delhi,Government Tender,265,11368.5,2160.01,9208.49,5546.45,3662.04,0,0,General Physician,SR008,59,Yes
S000153,2024-01-22,P030,D039,North,Punjab,Ludhiana,E-Pharmacy,317,36778.34,2617.79,34160.55,19774.46,14386.09,0,0,Cardiologist,SR009,47,No
S000154,2025-12-22,P030,D029,West,Gujarat,Ahmedabad,E-Pharmacy,184,21347.68,1591.46,19756.22,11477.92,8278.3,0,0,Gastroenterologist,SR010,47,Yes
S000155,2025-11-14,P022,D001,North,Delhi,New Delhi,Retail Pharmacy,408,70118.88,4313.65,65805.23,31726.08,34079.15,0,0,Not Applicable,SR011,33,No
S000156,2024-09-30,P015,D058,East,West Bengal,Kolkata,Clinic,368,22153.6,1803.15,20350.45,10451.2,9899.25,0,0,Pulmonologist,SR012,5,Yes
S000157,2024-06-10,P033,D035,East,Odisha,Bhubaneswar,Government Tender,399,61086.9,11606.51,49480.39,28021.77,21458.62,0,0,Not Applicable,SR013,21,No
S000158,2025-12-08,P020,D012,Central,Madhya Pradesh,Indore,Hospital,354,44823.48,5378.82,39444.66,19923.12,19521.54,0,0,Not Applicable,SR014,49,No
S000159,2024-03-31,P024,D059,East,Odisha,Bhubaneswar,E-Pharmacy,404,172358.52,10472.5,161886.02,87490.24,74395.78,0,0,Pulmonologist,SR015,3,Yes
